Wall time,Step,Value
1761276258.742399,500,-28.52739906311035
1761276259.5468292,1000,-30.896312713623047
1761276260.2904458,1500,-31.88856315612793
1761276261.0472403,2000,-30.517669677734375
1761276261.7854,2500,-30.141733169555664
1761276262.543889,3000,-32.96616744995117
1761276263.3505113,3500,-34.47238540649414
1761276264.0828626,4000,-37.8195686340332
1761276264.8338847,4500,-36.08401870727539
1761276265.5746508,5000,-36.54219436645508
1761276266.3163254,5500,-35.60289001464844
1761276267.0739777,6000,-35.761802673339844
1761276267.8357685,6500,-35.54777145385742
1761276268.5936518,7000,-36.660404205322266
1761276269.3464065,7500,-38.69241714477539
1761276270.0890074,8000,-39.533599853515625
1761276270.8511176,8500,-40.2626838684082
1761276271.678264,9000,-41.042633056640625
1761276272.4226143,9500,-41.79216766357422
1761276273.1656508,10000,-41.23548126220703
1761276273.9772606,10500,-41.985511779785156
1761276274.7433665,11000,-42.74388122558594
1761276275.515254,11500,-42.693214416503906
1761276276.252276,12000,-43.98665237426758
1761276277.028464,12500,-45.00547409057617
1761276277.754524,13000,-45.60002517700195
1761276278.5062544,13500,-45.12169647216797
1761276279.2533286,14000,-46.074100494384766
1761276280.019558,14500,-45.560096740722656
1761276280.773483,15000,-46.47458267211914
1761276281.5166633,15500,-47.16835403442383
1761276282.2733896,16000,-46.74958038330078
1761276283.0220714,16500,-47.45469284057617
1761276283.7503848,17000,-48.48203659057617
1761276284.4811172,17500,-49.61066436767578
1761276285.2329137,18000,-48.36954116821289
1761276285.963535,18500,-46.63991165161133
1761276286.7033727,19000,-44.443180084228516
1761276287.444389,19500,-42.43158721923828
1761276288.1886373,20000,-43.69058609008789
1761276288.9256082,20500,-41.94086456298828
1761276289.6790102,21000,-40.81314468383789
1761276290.4744105,21500,-39.23334503173828
1761276291.2789536,22000,-37.67885208129883
1761276292.0663867,22500,-36.75260925292969
1761276292.8052478,23000,-34.62963104248047
1761276293.5967853,23500,-32.83160400390625
1761276294.3863728,24000,-31.198740005493164
1761276295.146314,24500,-27.91587257385254
1761276295.8865192,25000,-25.898426055908203
1761276296.5974116,25500,-24.716569900512695
1761276297.3518138,26000,-21.242130279541016
1761276298.1098392,26500,-20.693599700927734
1761276298.871324,27000,-20.051305770874023
1761276299.6361618,27500,-20.26116371154785
1761276300.388949,28000,-18.698890686035156
1761276301.1653843,28500,-18.986312866210938
1761276301.9167662,29000,-18.866134643554688
1761276302.6733565,29500,-18.975940704345703
1761276303.4243,30000,-19.027366638183594
1761276304.2305644,30500,-18.87976837158203
1761276305.1294897,31000,-18.833293914794922
1761276305.8831844,31500,-18.948822021484375
1761276306.6479168,32000,-18.508909225463867
1761276307.409711,32500,-18.337202072143555
1761276308.1656277,33000,-18.001846313476562
1761276308.918639,33500,-17.669174194335938
1761276309.6987255,34000,-17.5369873046875
1761276310.472918,34500,-17.20396614074707
1761276311.2612052,35000,-16.8898983001709
1761276312.0329812,35500,-16.95179557800293
1761276312.8006787,36000,-16.91358757019043
1761276313.5561802,36500,-16.97605323791504
1761276314.3541806,37000,-17.052913665771484
1761276315.1204517,37500,-17.10738182067871
1761276315.8770247,38000,-17.254770278930664
1761276316.63045,38500,-17.084585189819336
1761276317.380638,39000,-17.35978126525879
1761276318.1353984,39500,-17.578121185302734
1761276318.9410634,40000,-18.121042251586914
1761276319.713002,40500,-18.273828506469727
1761276320.4904919,41000,-18.362884521484375
1761276321.260229,41500,-18.574953079223633
1761276322.0267959,42000,-18.701446533203125
1761276322.8039029,42500,-19.075271606445312
1761276323.5868578,43000,-19.04034996032715
1761276324.3623426,43500,-19.074743270874023
1761276325.12983,44000,-19.066259384155273
1761276325.9122822,44500,-18.898591995239258
1761276326.6631427,45000,-18.95794677734375
1761276327.438743,45500,-18.844032287597656
1761276328.2242734,46000,-18.980558395385742
1761276329.007593,46500,-18.588687896728516
1761276329.7904727,47000,-18.764163970947266
1761276330.589216,47500,-18.274986267089844
1761276331.3492475,48000,-18.477340698242188
1761276332.095408,48500,-18.577608108520508
1761276332.8597355,49000,-18.431943893432617
1761276333.6475356,49500,-18.60919761657715
1761276334.4844227,50000,-18.573261260986328
1761276335.2470415,50500,-17.92290687561035
1761276336.0358424,51000,-17.6253719329834
1761276336.8826728,51500,-17.65538215637207
1761276337.6621022,52000,-17.531124114990234
1761276338.4295995,52500,-17.245332717895508
1761276339.224659,53000,-16.784021377563477
1761276340.0071673,53500,-16.546707153320312
1761276340.7959728,54000,-16.122882843017578
1761276341.5601707,54500,-15.645223617553711
