episode,total_reward,landing_type,crashed,landed,landing_time
1,-73.75227858289132,crash,True,False,
2,72.15486983308088,perfect,False,True,373
3,-62.145667095687045,crash,True,False,
4,-76.80184684146539,crash,True,False,
5,-1.7809203051879408,crash,True,False,
6,95.32666591449122,perfect,False,True,350
7,-51.26530727566028,crash,True,False,
8,-70.40153907431859,crash,True,False,
9,-87.33760722707231,crash,True,False,
10,81.78235181370258,crash,True,False,
11,-84.66171181673695,crash,True,False,
12,34.18460039810432,crash,True,False,
13,106.7530272861192,perfect,False,True,338
14,56.91751125555721,crash,True,False,
15,-85.82086640718884,crash,True,False,
16,30.053219824700808,crash,True,False,
17,71.11904021626586,crash,True,False,
18,101.04608188242875,perfect,False,True,359
19,-88.39336010606372,crash,True,False,
20,-94.611315581055,crash,True,False,
21,-72.16721929888953,crash,True,False,
22,113.54262128555112,perfect,False,True,346
23,83.68204167715857,crash,True,False,
24,-115.37525561682443,crash,True,False,
25,-76.87290237484311,crash,True,False,
26,-88.84874823200656,crash,True,False,
27,-75.52635854800909,crash,True,False,
28,-101.35784484194507,crash,True,False,
29,38.537571365043505,crash,True,False,
30,71.47809520274149,crash,True,False,
