episode,total_reward,landing_type,crashed,landed,landing_time
1,72.80023972756884,perfect,False,True,436
2,73.34668196949686,perfect,False,True,402
3,59.58266773294146,crash,True,False,
4,48.590624366747214,crash,True,False,
5,71.07343690531184,perfect,False,True,451
6,74.55505577904573,perfect,False,True,411
7,57.16663136311574,crash,True,False,
8,36.74570004876536,missed,False,True,336
9,57.946958699319296,crash,True,False,
10,49.35569361738075,crash,True,False,
11,10.193857942251487,crash,True,False,
12,42.132681353179215,crash,True,False,
13,31.70711594560824,perfect,False,True,302
14,77.30299308145142,perfect,False,True,453
15,38.65190935534352,crash,True,False,
16,60.561021980083325,crash,True,False,
17,48.3695007534264,perfect,False,True,353
18,41.9005685767156,crash,True,False,
19,75.01393986521668,perfect,False,True,409
20,66.41151528124723,perfect,False,True,436
21,66.63606126570492,perfect,False,True,427
22,30.99638917501128,crash,True,False,
23,74.71431679921182,perfect,False,True,408
24,35.81952856598597,crash,True,False,
25,73.65260182941563,perfect,False,True,407
26,43.90879113065443,missed,False,True,401
27,39.02595612488163,crash,True,False,
28,72.7274972184062,perfect,False,True,418
29,40.09404724463063,crash,True,False,
30,55.07565997824436,crash,True,False,
