episode,total_reward,landing_type,crashed,landed,landing_time
1,66.89601616032931,crash,True,False,
2,44.04660629365966,crash,True,False,
3,59.54525980125182,crash,True,False,
4,37.695545145655046,crash,True,False,
5,39.403299884226165,crash,True,False,
6,68.40407458121703,crash,True,False,
7,38.38654108427838,crash,True,False,
8,72.22349377098308,crash,True,False,
9,73.52336179181933,crash,True,False,
10,68.48003572134674,crash,True,False,
11,56.49676843447028,crash,True,False,
12,81.39259980777277,crash,True,False,
13,67.41619644348323,crash,True,False,
14,78.41598820274866,crash,True,False,
15,74.93923255006129,crash,True,False,
16,57.446975931999205,crash,True,False,
17,73.5488480460826,crash,True,False,
18,38.28601783575983,crash,True,False,
19,37.329686181844906,crash,True,False,
20,35.7742686503455,crash,True,False,
21,58.09573213224228,crash,True,False,
22,54.73986316436902,crash,True,False,
23,48.648108922743944,crash,True,False,
24,50.088001949356865,crash,True,False,
25,69.57607658003923,crash,True,False,
26,75.19436813351138,crash,True,False,
27,41.40446212165989,crash,True,False,
28,44.00857768737246,crash,True,False,
29,72.04116037566214,crash,True,False,
30,65.31503197616337,crash,True,False,
