episode,total_reward,landing_type,crashed,landed,landing_time
1,158.23536509173414,missed,False,True,200
2,106.99803726805746,crash,True,False,
3,155.62371913853832,perfect,False,True,209
4,100.29127987597309,crash,True,False,
5,116.98788057812493,crash,True,False,
6,114.97103585699516,crash,True,False,
7,163.67943940179126,perfect,False,True,175
8,156.74332786805778,perfect,False,True,204
9,151.78994094574688,perfect,False,True,175
10,104.18252524879614,crash,True,False,
11,146.04490922365432,perfect,False,True,180
12,129.63200731610792,perfect,False,True,188
13,122.1492544908148,missed,False,True,177
14,109.01427283591809,crash,True,False,
15,163.58870605869646,perfect,False,True,189
16,132.68688747076126,crash,True,False,
17,121.31093583253372,crash,True,False,
18,132.25879291928507,perfect,False,True,198
19,160.36119150591475,perfect,False,True,190
20,160.14314596794756,perfect,False,True,171
21,106.60474115288741,crash,True,False,
22,101.74112462789108,crash,True,False,
23,88.93412038576254,crash,True,False,
24,156.89292536578878,perfect,False,True,198
25,120.26162404979382,perfect,False,True,184
26,121.79650438740653,crash,True,False,
27,138.30775354083428,perfect,False,True,178
28,127.3356092177518,crash,True,False,
29,127.96482864253065,perfect,False,True,181
30,139.10790110699622,perfect,False,True,181
