episode,total_reward,landing_type,crashed,landed,landing_time
1,77.14916035347444,perfect,False,True,433
2,81.58064033482879,perfect,False,True,450
3,76.5404587843112,perfect,False,True,436
4,78.09771319138659,perfect,False,True,431
5,45.64682761542543,crash,True,False,
6,60.6860205015808,perfect,False,True,415
7,55.278299612084886,perfect,False,True,392
8,70.221046693971,perfect,False,True,469
9,57.56498623616056,perfect,False,True,403
10,76.05395539247496,perfect,False,True,441
11,72.58244335216303,perfect,False,True,427
12,57.55600675220136,perfect,False,True,419
13,75.30949268019717,perfect,False,True,421
14,38.792709240518235,crash,True,False,
15,73.14103884350901,perfect,False,True,492
16,84.28398898004066,perfect,False,True,479
17,44.771488711466375,crash,True,False,
18,53.228873368469074,perfect,False,True,380
19,41.44200145735376,crash,True,False,
20,53.77276514907135,perfect,False,True,410
21,64.30573648058287,perfect,False,True,459
22,60.94432362736349,perfect,False,True,424
23,-51.97770680998392,,False,False,
24,40.02777611745812,perfect,False,True,372
25,63.163595715229604,perfect,False,True,427
26,63.49592130581964,perfect,False,True,444
27,78.55430030594589,perfect,False,True,445
28,58.28051171511179,perfect,False,True,405
29,78.8409920959266,perfect,False,True,440
30,46.463642715970195,crash,True,False,
