episode,total_reward,landing_type,crashed,landed,landing_time
1,83.07457810539799,perfect,False,True,154
2,101.35301417517172,missed,False,True,129
3,100.41659401454497,crash,True,False,
4,81.21218037452363,missed,False,True,149
5,77.7982709027715,crash,True,False,
6,71.83073186484071,crash,True,False,
7,116.16130009727667,perfect,False,True,120
8,87.60873964830535,crash,True,False,
9,102.21726329744607,crash,True,False,
10,92.96698272953738,perfect,False,True,138
11,107.29182791047612,missed,False,True,126
12,75.71232542133703,crash,True,False,
13,89.95572012105956,crash,True,False,
14,121.233249876,crash,True,False,
15,114.98735645210341,perfect,False,True,120
16,91.86423113642074,perfect,False,True,137
17,102.97703333301749,crash,True,False,
18,89.3404692202229,crash,True,False,
19,76.10090504588722,crash,True,False,
20,92.62835204207619,missed,False,True,134
21,91.26465897077107,perfect,False,True,143
22,115.7350957192555,perfect,False,True,119
23,68.83699354127329,crash,True,False,
24,115.05065672066202,perfect,False,True,118
25,111.74853864743189,crash,True,False,
26,107.9547263405961,perfect,False,True,126
27,88.44191483592614,crash,True,False,
28,90.79917187055946,crash,True,False,
29,90.55359050522559,crash,True,False,
30,114.9820181195396,perfect,False,True,117
